var_code,var_desc,isTabulated,unique_values,missing_pct
uniqueid,UNIQUEID,False,27976,0.0
year,YEAR,True,8,0.0
personid,RESPONDENT_ID_NUMBER,False,3497,0.0
x1,CURRENT_ECONOMIC_SITUATION_IN_GERMANY,True,5,0.004186795491143317
x2,RESP._OWN_CURRENT_FINANCIAL_SITUATION,True,5,0.0013687600644122382
x3,ECONOMIC_SITUATION_I.GERMANY_IN_ONE_YEAR,True,5,0.017230273752012883
x4,RESP.OWN_FINANCIAL_SITUATION_IN_ONE_YEAR,True,5,0.014412238325281804
x5,SATISFACTION_WITH_PERFORMANCE_OF_FED.GOV,True,6,0.7249597423510467
x6,SATISFACTION_WITH_DEMOCRACY_IN_THE_FRG,True,6,0.6535426731078905
x7,SELF-PLACEMENT_ON_LEFT-RIGHT_CONTINUUM,False,10,0.06992753623188405
x8,LEFT-RIGHT_PARTY_ASSESSMENT:_CDU,False,10,0.7514895330112722
x9,LEFT-RIGHT_PARTY_ASSESSMENT:_CSU,False,10,0.7541867954911433
x10,LEFT-RIGHT_PARTY_ASSESSMENT:_SPD,False,10,0.7510064412238325
x11,LEFT-RIGHT_PARTY_ASSESSMENT:_FDP,False,10,0.763365539452496
x12,LEFT-RIGHT_PARTY_ASSESSMENT:_THE_LEFT,False,10,0.7481078904991948
x13,LEFT-RIGHT_PARTY_ASSESSMENT:_THE_GREENS,False,10,0.7567632850241546
x14,"POLITICAL_INTEREST,_RESPONDENT(ORDINAL)",True,5,0.0004428341384863124
x15,DO_YOU_TEND_TO_SUPPORT_A_POLITIC._PARTY?,True,2,0.7231078904991949
x16,RESPONDENT:_PARTY_PREFERENCE,True,9,0.8524959742351047
x17,VOTING_INTENTION:_FEDERAL_ELECTION,False,11,0.20857487922705314
x18,ELIGIBLE_TO_VOTE_LAST_FEDERAL_ELECTION?,True,2,0.8946054750402577
x19,DID_YOU_VOTE_IN_LAST_FEDERAL_ELECTION?,True,2,0.09061996779388083
x20,PARTY_VOTE_IN_LAST_FEDERAL_ELECTION,False,11,0.5082125603864734
x21,REASONS_FOR_NOT_VOTING_IN_LAST_ELECTION,True,9,0.9500402576489533
x22,PROBABILITY:_VOTE_FOR_CDU-CSU,False,10,0.7419887278582931
x23,PROBABILITY:_VOTE_FOR_SPD,False,10,0.7423913043478261
x24,PROBABILITY:_VOTE_FOR_FDP,False,10,0.7443236714975845
