"uniqueid","p1","p2","p3","p4","p5"
20053998,0.334,0.35,0.076,0.08,0.16
20053994,0.388,0.248,0.044,0.22,0.1
20053979,0.456,0.19,0.006,0.294,0.054
20053976,0.252,0.312,0.072,0.144,0.22
20053964,0.21,0.326,0.152,0.042,0.27
20053947,0.442,0.232,0.026,0.226,0.074
20053935,0.444,0.23,0.022,0.23,0.074
20053922,0.266,0.32,0.094,0.106,0.214
20053918,0.17,0.342,0.162,0.028,0.298
20053917,0.424,0.27,0.01,0.208,0.088
20053911,0.426,0.24,0.016,0.226,0.092
20053902,0.288,0.364,0.068,0.066,0.214
20053900,0.324,0.32,0.088,0.072,0.196
20053898,0.42,0.31,0.02,0.158,0.092
20053888,0.288,0.324,0.064,0.13,0.194
20053887,0.3,0.336,0.088,0.094,0.182
20053856,0.404,0.256,0.016,0.238,0.086
20053855,0.392,0.31,0.032,0.146,0.12
20053849,0.358,0.286,0.05,0.132,0.174
20053847,0.338,0.31,0.042,0.152,0.158
20053846,0.44,0.188,0.016,0.28,0.076
20053844,0.46,0.184,0.016,0.272,0.068
20053841,0.306,0.318,0.094,0.082,0.2
20053836,0.25,0.308,0.12,0.07,0.252
20053834,0.286,0.32,0.074,0.086,0.234
20053812,0.382,0.26,0.036,0.19,0.132
20053808,0.45,0.238,0.026,0.196,0.09
20053800,0.338,0.354,0.044,0.098,0.166
20053799,0.392,0.288,0.024,0.114,0.182
20053793,0.384,0.31,0.03,0.168,0.108
20053787,0.434,0.164,0.022,0.306,0.074
20053779,0.422,0.228,0.02,0.242,0.088
20053774,0.294,0.3,0.098,0.076,0.232
20053772,0.424,0.29,0.024,0.17,0.092
20053767,0.344,0.34,0.054,0.12,0.142
20053765,0.372,0.31,0.032,0.136,0.15
20053758,0.324,0.312,0.07,0.094,0.2
20053751,0.366,0.206,0.058,0.222,0.148
20053748,0.378,0.306,0.036,0.184,0.096
20053734,0.334,0.332,0.07,0.144,0.12
20053729,0.43,0.218,0.03,0.258,0.064
20053725,0.222,0.298,0.132,0.08,0.268
20053715,0.486,0.182,0.012,0.238,0.082
20053713,0.29,0.312,0.092,0.082,0.224
20053712,0.438,0.19,0.016,0.296,0.06
20053710,0.438,0.288,0.022,0.162,0.09
20053709,0.198,0.258,0.166,0.044,0.334
20053707,0.408,0.274,0.042,0.174,0.102
20053705,0.46,0.218,0.014,0.254,0.054
20053704,0.388,0.244,0.04,0.21,0.118
20053700,0.31,0.304,0.072,0.116,0.198
20053699,0.192,0.276,0.182,0.048,0.302
20053690,0.48,0.21,0.026,0.182,0.102
20053681,0.402,0.31,0.028,0.148,0.112
20053679,0.3,0.374,0.068,0.076,0.182
20053670,0.482,0.216,0.022,0.204,0.076
20053669,0.254,0.326,0.126,0.046,0.248
20053664,0.382,0.24,0.024,0.274,0.08
20053659,0.4,0.342,0.032,0.124,0.102
20053654,0.496,0.216,0.014,0.198,0.076
20053647,0.326,0.304,0.07,0.126,0.174
20053645,0.476,0.162,0.014,0.282,0.066
20053644,0.27,0.336,0.09,0.1,0.204
20053636,0.272,0.298,0.078,0.092,0.26
20053633,0.246,0.282,0.134,0.084,0.254
20053632,0.448,0.25,0.044,0.154,0.104
20053630,0.21,0.284,0.164,0.06,0.282
20053629,0.386,0.27,0.056,0.152,0.136
20053624,0.202,0.328,0.172,0.04,0.258
20053623,0.394,0.276,0.062,0.122,0.146
